season,month,village,zone,enrolled_clients,enrolled_female_clients,active_clients,total_amount_saved,finished_clients
2018,2017-11-01,V0,Z2,15,0,16,35500,3
2018,2017-11-01,V1,Z2,10,2,9,9500,5
2018,2017-11-01,V2,Z2,31,11,33,25000,16
2018,2017-11-01,V3,Z2,24,2,16,14500,8
2018,2017-11-01,V4,Z2,21,10,19,15500,12
2018,2017-11-01,V5,Z2,18,2,18,31000,8
2018,2017-11-01,V6,Z2,27,5,10,8000,8
2018,2017-11-01,V7,Z2,49,12,48,63000,23
2018,2017-11-01,V8,Z2,40,9,34,59500,21
2018,2017-11-01,V9,Z2,20,1,19,17000,3
2018,2017-11-01,V10,Z1,24,9,20,12500,11
2018,2017-11-01,V11,Z1,10,3,10,24500,5
2018,2017-11-01,V12,Z1,21,4,7,6000,1
2018,2017-11-01,V13,Z2,11,3,14,10000,4
2018,2017-11-01,V14,Z2,4,0,4,2000,1
2018,2017-11-01,V15,Z1,28,6,23,16000,10
2018,2017-11-01,V16,Z1,5,0,1,500,1
2018,2017-11-01,V17,Z2,8,1,8,4500,2
2018,2017-11-01,V18,Z2,19,0,16,190500,14
2018,2017-11-01,V19,Z2,21,5,25,50000,8
2018,2017-11-01,V20,Z2,33,7,29,34500,23
2018,2017-11-01,V21,Z2,43,26,42,70500,23
2018,2017-11-01,V22,Z2,36,8,30,30500,16
2018,2017-11-01,V23,Z1,4,0,0,0,3
2018,2017-11-01,V24,Z1,5,1,4,24000,2
2018,2017-11-01,V25,Z2,26,13,25,13000,2
2018,2017-11-01,V26,Z1,14,2,12,14500,6
2018,2017-11-01,V27,Z1,21,7,20,19000,12
2018,2017-11-01,V28,Z1,13,4,10,14500,6
2018,2017-11-01,V29,Z2,4,0,5,2500,3
2018,2017-11-01,V30,Z2,19,3,27,126500,12
2018,2017-11-01,V31,Z2,12,3,10,23000,4
2018,2017-11-01,V32,Z2,10,1,7,8000,4
2018,2017-11-01,V33,Z1,9,3,7,3500,4
2018,2017-11-01,V34,Z2,41,13,35,35000,24
2018,2017-11-01,V35,Z2,28,4,28,28000,18
2018,2017-11-01,V36,Z2,32,4,26,28000,4
2018,2017-11-01,V37,Z1,3,0,3,6500,2
2018,2017-11-01,V38,Z2,28,1,27,38500,7
2018,2017-11-01,V39,Z1,16,4,7,5000,4
2018,2017-11-01,V40,Z1,31,12,26,76500,13
2018,2017-11-01,V41,Z1,21,4,25,24500,16
2018,2017-11-01,V42,Z2,19,0,17,19000,7
2018,2017-11-01,V43,Z1,18,1,30,55000,8
2018,2017-11-01,V44,Z2,23,5,23,34500,4
2018,2017-11-01,V45,Z1,3,1,3,3500,1
2018,2017-11-01,V46,Z2,18,3,18,19500,8
2018,2017-11-01,V47,Z2,34,8,33,66500,10
2018,2017-11-01,V48,Z2,19,5,19,11000,6
2018,2017-11-01,V49,Z1,4,0,5,5500,1
2018,2017-11-01,V50,Z2,33,2,38,70000,13
2018,2017-11-01,V51,Z2,44,2,39,36500,20
2018,2017-11-01,V52,Z2,26,4,9,6500,9
2018,2017-11-01,V53,Z1,16,6,15,13500,7
2018,2017-11-01,V54,Z2,18,1,17,19000,7
2018,2017-11-01,V55,Z2,17,4,18,18000,6
2018,2017-11-01,V56,Z2,38,4,36,74000,14
2018,2017-11-01,V57,Z2,5,3,4,2000,0
2018,2017-11-01,V58,Z2,23,13,10,5500,3
2018,2017-11-01,V59,Z1,5,0,3,2500,1
2018,2017-11-01,V60,Z2,3,0,0,0,0
2018,2017-11-01,V61,Z2,1,0,0,0,0
2018,2017-11-01,V62,Z2,3,0,3,1500,0
2018,2017-11-01,V63,Z2,11,0,9,9500,7
2018,2017-11-01,V64,Z1,5,2,1,500,1
2018,2017-11-01,V65,Z2,13,3,27,104500,4
2018,2017-11-01,V66,Z2,12,2,10,9500,6
2018,2017-11-01,V67,Z1,34,1,25,37500,12
2018,2017-11-01,V68,Z2,12,0,9,49500,5
2018,2017-11-01,V69,Z2,18,4,18,106500,7
2018,2017-11-01,V70,Z2,12,5,4,2500,9
2018,2017-11-01,V71,Z1,15,5,17,11000,8
2018,2017-11-01,V72,Z1,3,1,6,5000,0
2018,2017-11-01,V73,Z1,16,1,13,10000,5
2018,2017-11-01,V74,Z1,14,9,12,23000,4
2018,2017-11-01,V75,Z1,10,2,8,6000,2
2018,2017-11-01,V76,Z2,3,0,3,2500,1
2018,2017-11-01,V77,Z2,8,2,8,9000,3
2018,2017-11-01,V78,Z2,16,0,38,65500,7
2018,2017-11-01,V79,Z1,21,2,19,12000,13
2018,2017-11-01,V80,Z1,43,15,26,31500,22
2018,2017-11-01,V81,Z2,4,0,4,3500,1
2018,2017-11-01,V82,Z2,12,2,12,32500,9
2018,2017-11-01,V83,Z2,46,13,36,58000,30
2018,2017-11-01,V84,Z2,36,20,23,19000,8
2018,2017-11-01,V85,Z1,11,1,12,24000,9
2018,2017-11-01,V86,Z2,65,22,36,47000,22
2018,2017-11-01,V87,Z1,4,1,4,4000,2
2018,2017-11-01,V88,Z2,30,9,28,32000,10
2018,2017-11-01,V89,Z2,1,0,1,500,0
2018,2017-11-01,V90,Z1,24,5,27,36000,9
2018,2017-11-01,V91,Z1,11,3,0,0,2
2018,2017-11-01,V92,Z1,9,2,10,14500,0
2018,2017-11-01,V93,Z1,12,5,10,22000,4
2018,2017-11-01,V94,Z2,38,8,27,74000,16
2018,2017-12-01,V0,Z2,11,1,16,32000,4
2018,2017-12-01,V1,Z2,51,7,48,180500,20
2018,2017-12-01,V2,Z2,32,13,34,59500,9
2018,2017-12-01,V3,Z2,23,5,23,25500,12
2018,2017-12-01,V4,Z2,62,13,63,138000,34
2018,2017-12-01,V5,Z2,21,4,23,88000,8
2018,2017-12-01,V6,Z2,43,14,49,112000,14
2018,2017-12-01,V7,Z2,3,1,35,132500,0
2018,2017-12-01,V8,Z2,97,25,95,112000,53
2018,2017-12-01,V9,Z2,6,0,5,4000,1
2018,2017-12-01,V10,Z1,12,4,14,24000,7
2018,2017-12-01,V11,Z1,9,0,11,52500,2
2018,2017-12-01,V12,Z1,25,9,24,30500,5
2018,2017-12-01,V13,Z2,52,7,53,149000,30
2018,2017-12-01,V14,Z2,3,0,4,6500,2
2018,2017-12-01,V15,Z1,29,7,26,23000,7
2018,2017-12-01,V16,Z1,3,0,4,28500,2
2018,2017-12-01,V17,Z2,46,13,47,27000,7
2018,2017-12-01,V18,Z2,30,5,35,372500,12
2018,2017-12-01,V19,Z2,35,9,38,56500,15
2018,2017-12-01,V20,Z2,47,11,63,115000,24
2018,2017-12-01,V21,Z2,11,5,26,167500,7
2018,2017-12-01,V22,Z2,47,13,51,54500,22
2018,2017-12-01,V23,Z1,5,1,2,1500,2
2018,2017-12-01,V24,Z1,40,7,38,51000,13
2018,2017-12-01,V25,Z2,25,7,27,16500,6
2018,2017-12-01,V26,Z1,23,2,23,32500,7
2018,2017-12-01,V27,Z1,54,17,46,53000,20
2018,2017-12-01,V28,Z1,13,1,9,8500,3
2018,2017-12-01,V29,Z2,35,10,33,24000,15
2018,2017-12-01,V30,Z2,41,6,41,104000,27
2018,2017-12-01,V31,Z2,47,16,48,112000,29
2018,2017-12-01,V32,Z2,72,11,71,112000,27
2018,2017-12-01,V33,Z1,7,3,7,4000,0
2018,2017-12-01,V34,Z2,42,4,52,66000,18
2018,2017-12-01,V35,Z2,29,4,48,86000,12
2018,2017-12-01,V36,Z2,20,2,22,29500,5
2018,2017-12-01,V37,Z1,6,0,6,4500,1
2018,2017-12-01,V38,Z2,26,1,41,76500,5
2018,2017-12-01,V39,Z1,22,7,14,7500,3
2018,2017-12-01,V40,Z1,35,8,37,55000,10
2018,2017-12-01,V41,Z1,19,2,40,196500,9
2018,2017-12-01,V42,Z2,8,0,12,54000,2
2018,2017-12-01,V95,Z1,45,21,36,33000,9
2018,2017-12-01,V43,Z1,25,6,27,99000,6
2018,2017-12-01,V44,Z2,12,4,13,18500,0
2018,2017-12-01,V45,Z1,19,5,17,15000,4
2018,2017-12-01,V46,Z2,36,7,37,26000,7
2018,2017-12-01,V47,Z2,36,6,50,65000,9
2018,2017-12-01,V48,Z2,31,9,31,20000,12
2018,2017-12-01,V49,Z1,41,20,36,40000,17
2018,2017-12-01,V50,Z2,19,1,24,267000,10
2018,2017-12-01,V51,Z2,27,3,38,52500,12
2018,2017-12-01,V52,Z2,32,11,4,2000,11
2018,2017-12-01,V53,Z1,15,0,6,3500,3
2018,2017-12-01,V54,Z2,13,1,12,31500,6
2018,2017-12-01,V55,Z2,39,3,40,49000,17
2018,2017-12-01,V56,Z2,23,3,27,74000,6
2018,2017-12-01,V57,Z2,25,4,22,40000,8
2018,2017-12-01,V58,Z2,27,11,29,111500,7
2018,2017-12-01,V59,Z1,15,6,18,29500,4
2018,2017-12-01,V60,Z2,6,0,3,9000,3
2018,2017-12-01,V61,Z2,5,0,1,2000,3
2018,2017-12-01,V62,Z2,45,10,42,30000,8
2018,2017-12-01,V63,Z2,1,0,3,4000,1
2018,2017-12-01,V64,Z1,7,2,7,27000,3
2018,2017-12-01,V65,Z2,21,1,31,62000,6
2018,2017-12-01,V66,Z2,37,20,42,83000,15
2018,2017-12-01,V67,Z1,43,4,48,138500,17
2018,2017-12-01,V68,Z2,37,2,37,71500,5
2018,2017-12-01,V69,Z2,35,10,37,156500,7
2018,2017-12-01,V70,Z2,32,14,34,36000,16
2018,2017-12-01,V71,Z1,41,10,37,194500,17
2018,2017-12-01,V72,Z1,6,1,13,35500,2
2018,2017-12-01,V73,Z1,16,5,15,48000,12
2018,2017-12-01,V74,Z1,9,4,11,18000,3
2018,2017-12-01,V75,Z1,39,19,38,51000,7
2018,2017-12-01,V76,Z2,16,1,15,18000,1
2018,2017-12-01,V77,Z2,44,2,37,32500,16
2018,2017-12-01,V78,Z2,30,3,34,90000,13
2018,2017-12-01,V79,Z1,16,5,15,24500,3
2018,2017-12-01,V80,Z1,47,17,45,58500,18
2018,2017-12-01,V81,Z2,24,5,22,19500,11
2018,2017-12-01,V82,Z2,58,11,57,386000,25
2018,2017-12-01,V83,Z2,9,1,23,49000,7
2018,2017-12-01,V84,Z2,49,16,51,49000,19
2018,2017-12-01,V85,Z1,32,13,26,45500,16
2018,2017-12-01,V86,Z2,11,2,38,84000,3
2018,2017-12-01,V87,Z1,25,8,27,50500,9
2018,2017-12-01,V88,Z2,46,8,50,60000,13
2018,2017-12-01,V89,Z2,55,7,50,113000,23
2018,2017-12-01,V90,Z1,39,6,40,124500,17
2018,2017-12-01,V91,Z1,16,3,10,7000,4
2018,2017-12-01,V92,Z1,14,4,13,8500,1
2018,2017-12-01,V93,Z1,2,0,13,11000,1
2018,2017-12-01,V94,Z2,24,4,35,115000,10
2018,2018-01-01,V0,Z2,18,4,21,34000,2
2018,2018-01-01,V1,Z2,11,4,21,33500,2
2018,2018-01-01,V2,Z2,4,3,25,70500,2
2018,2018-01-01,V3,Z2,2,0,11,24000,0
2018,2018-01-01,V4,Z2,17,7,37,103000,11
2018,2018-01-01,V5,Z2,11,0,21,73000,6
2018,2018-01-01,V6,Z2,16,2,28,38000,6
2018,2018-01-01,V7,Z2,10,8,27,92500,7
2018,2018-01-01,V8,Z2,53,19,105,211500,26
2018,2018-01-01,V9,Z2,30,9,23,21000,7
2018,2018-01-01,V10,Z1,22,3,35,102000,3
